evento_id,evento,data_inicial,data_final,id_chamado
6,Carnaval,2024-02-10,2024-02-14,19894789
6,Carnaval,2024-02-10,2024-02-14,19895032
6,Carnaval,2024-02-10,2024-02-14,19895154
6,Carnaval,2024-02-10,2024-02-14,19895187
6,Carnaval,2024-02-10,2024-02-14,19895532
6,Carnaval,2024-02-10,2024-02-14,19895660
6,Carnaval,2024-02-10,2024-02-14,19895663
6,Carnaval,2024-02-10,2024-02-14,19895665
7,Rock in Rio,2024-09-13,2024-09-15,20866445
7,Rock in Rio,2024-09-13,2024-09-15,20867731
7,Rock in Rio,2024-09-13,2024-09-15,20869749
7,Rock in Rio,2024-09-13,2024-09-15,20870425
7,Rock in Rio,2024-09-13,2024-09-15,20870498
7,Rock in Rio,2024-09-13,2024-09-15,20871735
7,Rock in Rio,2024-09-13,2024-09-15,20872360
7,Rock in Rio,2024-09-13,2024-09-15,20872363
7,Rock in Rio,2024-09-13,2024-09-15,20872568
7,Rock in Rio,2024-09-13,2024-09-15,20872649
7,Rock in Rio,2024-09-13,2024-09-15,20873257
7,Rock in Rio,2024-09-13,2024-09-15,20873918
8,Rock in Rio,2024-09-19,2024-09-22,20891476
8,Rock in Rio,2024-09-19,2024-09-22,20893470
8,Rock in Rio,2024-09-19,2024-09-22,20893526
8,Rock in Rio,2024-09-19,2024-09-22,20893730
8,Rock in Rio,2024-09-19,2024-09-22,20897533
8,Rock in Rio,2024-09-19,2024-09-22,20898911
8,Rock in Rio,2024-09-19,2024-09-22,20898969
8,Rock in Rio,2024-09-19,2024-09-22,20899862
8,Rock in Rio,2024-09-19,2024-09-22,20899875
8,Rock in Rio,2024-09-19,2024-09-22,20900419
8,Rock in Rio,2024-09-19,2024-09-22,20900769
8,Rock in Rio,2024-09-19,2024-09-22,20900781
8,Rock in Rio,2024-09-19,2024-09-22,20900861
9,Réveillon,2024-12-29,2025-01-01,21264945
9,Réveillon,2024-12-29,2025-01-01,21264951
9,Réveillon,2024-12-29,2025-01-01,21264952
9,Réveillon,2024-12-29,2025-01-01,21264957
9,Réveillon,2024-12-29,2025-01-01,21264961
9,Réveillon,2024-12-29,2025-01-01,21264970
9,Réveillon,2024-12-29,2025-01-01,21264974
9,Réveillon,2024-12-29,2025-01-01,21264976
9,Réveillon,2024-12-29,2025-01-01,21264984
9,Réveillon,2024-12-29,2025-01-01,21264986
9,Réveillon,2024-12-29,2025-01-01,21264993
9,Réveillon,2024-12-29,2025-01-01,21264995
9,Réveillon,2024-12-29,2025-01-01,21264998
9,Réveillon,2024-12-29,2025-01-01,21264999
9,Réveillon,2024-12-29,2025-01-01,21265003
9,Réveillon,2024-12-29,2025-01-01,21265010
9,Réveillon,2024-12-29,2025-01-01,21265055
9,Réveillon,2024-12-29,2025-01-01,21265242
9,Réveillon,2024-12-29,2025-01-01,21265259
